,id,token0_id,token0_name,reserve0,token0Price,volumeToken0,token1_id,token1_name,reserve1,token1Price,volumeToken1
0,0x00004ee988665cdda9a1080d5792cecd16dc1220,0x4d44d6c288b7f32ff676a4b2dafd625992f8ffbd,Solution Life Coin,199.713907280830191521,4.928335888449350007658500420952246,183578.906790157012954966,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,40.523599,0.2029082478618639106177128627761995,39136.224396
1,0x0000871c95bb027c90089f4926fd1ba82cdd9a8b,0x5152e1cb69a2ffa3997e89cbb4aba76a01d82141,HARDCORE,0.000000000000007155,50.74468085106382978723404255319149,1136.139076109248718343,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,0.000000000000000141,0.01970649895178197064989517819706499,23.591009907456922402
2,0x00030110a7053083a7a160449a0e8f1adce9438d,0x65f9a292f1aeed5d755aa2fd2fb17ab2e9431447,SoMee.Social,2021136.101044612126737872,263889.4527945737192652679873564943,180757023.563270173634191969,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,7.65902570050034281,0.000003789465586479713614786974985880107,1807.024129525534037253
3,0x00031554ee74e4a6d497677e5152d94c3dbe5f46,0x59c8c614bcf74041143710ec09e5837d9383ba16,DATO Curve x,0.000000000000020727,0.0000000001127157277878947277330133840128107,10387.715774983722683566,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,0.000183887381173668,8871876353.243016355478361557388913,35.685163082941849813
4,0x0003713f74bc8c3435f4499eb0cbc6298cd1529d,0x2432c78801380ba2538f9bddf65c81d525e64db4,WGRT,0.000000000739214379,739214379,8239839255.322104866876024512,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,0.000000000000000001,0.00000000135278753824132525430758700109106,0.015
5,0x00048cf1acdb5fa81a0facf869ef60c3f49bfe36,0x34c3f50e408abac32436d7f744f89379e5c2b972,CocktailToken,11595757.502067361946364787,161871353.9391320847537232155026898,26325219.271245846697038642,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,0.071635636694727801,0.000000006177745324697947969452317991291704,111.164284815195490006
6,0x0004ecc9fdb2dac546a215abeb7ce73439f96cd1,0x171f9cfc136f2b2aaa148fcc6b660a2029bab048,Gold Standard,0.0015,0.0212329251893269162714983367541935,183.574,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,0.070645,47.09666666666666666666666666666667,10394.228647
7,0x0005ee2ef3f313ae168451ef8174b4fcc508819f,0x1a5f9352af8af974bfc03399e3767df6370d82e4,OWL Token,105.431351664287910609,5950.592390688620552997450302860342,4485.502980837534160533,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,0.017717790892426943,0.0001680504955380210431168706540544974,8.735998551652944584
8,0x0006bc3e52137a1873d7d8cd779a7e138bb7e929,0x1828e7a548bbd4a90ac74e0b411503512dd25268,Systematic API,0.000000000000020216,404.32,268.957670493863942033,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,0.00000000000000005,0.002473288484368816778789077958053027,0.66245828291141804
9,0x000a7f585c99791e49fa75fdbfbc8588a1f6ffc8,0xa06f6870b254a9ad05e27ac93168d9c8f6d40c81,I LOVE SMELL OF MEV SANDWICH IN THE MORNING,0.000000000001277207,1277207,7472638.712455173598993908,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,0.000000000000000001,0.0000007829584397830578755049103238550994,5.348751834377783348
10,0x000bc4f31d2c8dcc66f6f1c93bb00920e3ea6c5d,0xb8d9059ce0bfaa6d9e823383067a526434b2059b,UniStake,0.000000000000045688,2076.727272727272727272727272727273,23271.179142989089485303,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,0.000000000000000022,0.0004815268779548240238136928734022063,11.091377929328436182
11,0x000c5583ec00b076c41292484b3a24c3416583f0,0x1334c5629fe4ace62d4d5e9a0b9b44da7212e21e,UglyShiba,0.00000000444716489,4447164890,680036618421016.128380996210325212,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,0.000000000000000001,0.0000000002248623616921926184751831857532047,32.309162347488202142
12,0x000c5c3905733ad4abe97bd7c52170d9ddf116ee,0x181c514ef87e069d138a197dbd9f4e2a3d2fece9,RFbtc,192299.89572341,2714446.043162402122406532889859185,109025164.28604556,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,0.070843145402652943,0.0000003683992918256622620641455004443788,1206.073963547285907848
13,0x000d6bc79e6d73bdd2099942f3fd4b87f8e3c33c,0xbe579711fe8d7e566793a1553334c61f9cb56999,CoFiX.io,0.000000000000001671,2.77574750830564784053156146179402,2071.292164613629066104,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,0.000000000000000602,0.3602633153800119688809096349491323,289.55903468208465506
14,0x000dd0b1528a396c6ea2e09796a7b4a534e9e37b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,42.035241899272987103,0.0000008733396602270703254431074794356827,10967.421254777454301166,0xc8807f0f5ba3fa45ffbdc66928d71c5289249014,Ispolink Token,48131607.682105868503125403,1145029.872730155978668234926877237,9594498051.594076343235933269
